"34-1-14","443 Broadway, Newburgh, NY, 12550","No_Match"
"35-3-25","230 Washington St, Newburgh, NY, 12550","Match","Exact","230 WASHINGTON ST, NEWBURGH, NY, 12550","-74.01758,41.498825","124413592","R","36","071","000501","1000"
"35-3-26","234 Washington St, Newburgh, NY, 12550","Match","Exact","234 WASHINGTON ST, NEWBURGH, NY, 12550","-74.01775,41.49884","124413592","R","36","071","000501","1000"
"35-3-27","238 Washington St, Newburgh, NY, 12550","Match","Exact","238 WASHINGTON ST, NEWBURGH, NY, 12550","-74.01793,41.49885","124413592","R","36","071","000501","1000"
"7-7-11.1","271 Powell Ave, Newburgh, NY, 12550","Match","Exact","271 POWELL AVE, NEWBURGH, NY, 12550","-74.01507,41.510715","124498572","L","36","071","000100","3006"
"35-3-28","240 Washington St, Newburgh, NY, 12550","Match","Exact","240 WASHINGTON ST, NEWBURGH, NY, 12550","-74.01802,41.498856","124413592","R","36","071","000501","1000"
"35-3-29","242 Washington St, Newburgh, NY, 12550","Match","Exact","242 WASHINGTON ST, NEWBURGH, NY, 12550","-74.01811,41.498863","124413592","R","36","071","000501","1000"
"31-1-9","69 Grand St, Newburgh, NY, 12550","Match","Exact","69 GRAND ST, NEWBURGH, NY, 12550","-74.00961,41.501198","124413720","L","36","071","000400","5007"
"7-8-3.1","30 Hudson View Ter, Newburgh, NY, 12550","Match","Exact","30 HUDSON VIEW TER, NEWBURGH, NY, 12550","-74.01828,41.509537","124413485","R","36","071","000100","1018"
"36-4-8","119 Liberty St, Newburgh, NY, 12550","Match","Exact","119 LIBERTY ST, NEWBURGH, NY, 12550","-74.0108,41.499172","124413723","L","36","071","000501","2008"
"36-4-7","91 Ann St, Newburgh, NY, 12550","Match","Exact","91 ANN ST, NEWBURGH, NY, 12550","-74.0111,41.499256","124494345","L","36","071","000501","2008"
"34-1-22","405 Broadway, Newburgh, NY, 12550","Match","Exact","405 BROADWAY, NEWBURGH, NY, 12550","-74.026505,41.501057","124413416","L","36","071","000300","4004"
"34-1-23","18 Lake St, Newburgh, NY, 12550","Match","Exact","18 LAKE ST, NEWBURGH, NY, 12550","-74.026474,41.499878","124413422","R","36","071","000300","4004"
"36-4-9","117 Liberty St, Newburgh, NY, 12550","Match","Exact","117 LIBERTY ST, NEWBURGH, NY, 12550","-74.01081,41.49909","124413723","L","36","071","000501","2008"
"36-4-4","105 Ann St, Newburgh, NY, 12550","Match","Exact","105 ANN ST, NEWBURGH, NY, 12550","-74.01168,41.499294","124494345","L","36","071","000501","2008"
"31-1-5","111 First St, Newburgh, NY, 12550","Match","Exact","111 1ST ST, NEWBURGH, NY, 12550","-74.0101,41.502148","124431459","L","36","071","000400","5007"
"31-1-6","109 First St, Newburgh, NY, 12550","Match","Exact","109 1ST ST, NEWBURGH, NY, 12550","-74.009995,41.50214","124431459","L","36","071","000400","5007"
