ID,SaleDate,Price,NBHD_CODE,PROP_CLASS,BLDG_STYLE,GRADE,OVERALL_COND,SFLA,ACRES,YR_BUILT,NBR_BEDROOMS,NBR_FULL_BATHS,NBR_HALF_BATHS,NBR_FIREPLACES
48-3-8,1441843200,25000,15,210,8,C,4,1232,0.057392103,1890,3,1,0,1
16-11-31,1428537600,122000,6,210,8,C,3,1802,0.095270891,1920,3,1,0,0
7-5-25,1429833600,125000,3,210,4,C,3,1145,0.143480257,1960,3,1,1,1
3-2-9,1429747200,90000,2,210,1,C,3,944,0.151515152,1950,2,1,0,1
17-3-23,1429833600,100000,6,210,8,C,3,1138,0.078627181,1918,3,1,0,0
17-7-16,1431648000,70000,3,210,8,C,3,1670,0.140610652,1875,3,1,0,1
48-4-22,1432771200,185000,15,210,8,C,4,1970,0.084940312,1900,3,2,0,0
16-1-7,1433894400,87000,11,210,15,C,3,1100,0.075298439,1918,3,1,0,0
18-6-38,1434326400,34000,8,210,8,D,1,1740,0.096418733,1900,4,2,0,0
6-4-11,1434412800,127500,2,210,1,C,3,1242,0.183654729,1955,3,1,1,0
3-12-14,1435276800,170538,2,210,5,C,3,1664,0.258264463,1942,3,1,1,1
16-5-3,1419206400,108500,11,210,15,C,3,1197,0.090909091,1916,3,2,0,0
18-6-35,1419292800,200000,8,210,8,C,3,2406,0.066574839,1900,7,2,0,2
22-3-5,1422316800,55000,8,210,10,C,3,1888,0.053030303,1850,4,1,0,2
6-3-11,1422316800,155900,2,210,3,C,3,1568,0.17194674,1965,3,1,1,0
22-6-7,1422576000,69000,8,210,8,C,3,1408,0.072887971,1900,4,2,0,0
2-4-7,1423008000,150000,2,210,2,C,4,2720,0.186878788,1977,4,3,1,0
7-1-8,1423612800,12000,3,210,8,C,1,792,0.087878788,1920,2,1,0,0
16-12-11,1423699200,130000,6,210,8,C,3,1379,0.084940312,1920,3,1,0,0
4-9-1,1425254400,445000,4,210,7,B,1,7933,0.970316804,1900,8,4,0,2
10-2-17,1427068800,325000,4,210,8,B,4,2216,0.071740129,1860,4,2,0,2
27-2-11,1413936000,168500,6,210,14,C,3,2048,0.095959596,2010,3,2,1,0
4-8-13,1414540800,133000,4,210,5,C,3,1258,0.117653811,1920,3,1,0,1
33-2-2.1,1414627200,124400,12,210,8,C,3,1760,0.490413223,1891,3,2,0,0
3-9-28,1416355200,35000,3,210,8,C,1,1056,0.187672176,1910,2,1,0,0
48-4-2,1415318400,165000,15,210,8,C,4,2012,0.086088154,1907,3,1,1,0
33-1-8,1415750400,47000,12,210,9,C,3,1220,0.109044995,1920,2,1,0,0
6-6-41,1416096000,124800,2,210,1,C,3,1088,0.189370983,1955,3,1,1,0
25-8-8,1417564800,95000,9,210,8,C,3,1408,0.096418733,1930,4,1,0,0
26-3-67,1418688000,252500,10,210,2,C,4,2134,0.172176309,2014,4,2,0,1
7-9-18,1418774400,150000,3,210,3,C,3,1857,0.23415978,1957,3,2,0,0
4-8-1,1419206400,587000,4,210,7,B,4,5216,0.924701561,1910,4,2,2,5
24-12-5,1409011200,209900,4,210,10,C,3,2820,0.090376492,1900,4,4,1,4
6-5-6,1409270400,199000,6,210,3,C,3,1884,0.303030303,1960,3,2,0,1
26-1-4,1410307200,120000,5,210,8,C,4,1202,0.134986226,1930,2,1,1,0
16-8-16,1410739200,33000,11,210,15,C,3,1100,0.084366391,1927,3,1,0,0
9-2-30,1410825600,350000,4,210,5,B,3,3344,0.358471074,1832,4,1,2,6
6-3-25,1410825600,185000,2,210,4,C,4,1591,0.161336088,1955,3,2,0,0
2-2-8,1411084800,123384,2,210,1,C,3,1000,0.26584022,1956,2,1,0,0
9-1-3,1412640000,42000,4,210,10,C,3,1430,0.049357208,1876,3,1,0,0
15-4-2,1413331200,139900,6,210,8,C,3,1268,0.118732782,1935,3,1,0,1
45-12-2,1413417600,85000,14,210,8,C,3,1782,0.086088154,1895,4,1,0,1
4-8-9,1404950400,269000,4,210,8,C,4,1572,0.148663912,1926,3,2,0,1
3-8-15,1404950400,123000,3,210,8,C,3,1060,0.149862259,1930,2,2,0,0
2-15-4,1405036800,71480,2,210,1,C,3,768,0.114784206,1950,2,1,0,0
4-10-23,1405900800,195000,4,210,8,C,3,2208,0.115300735,2006,3,2,1,0
30-1-9,1406073600,39900,8,210,8,C,3,1425,0.063360882,1900,3,1,0,0
6-3-20,1406678400,120000,2,210,1,C,3,1204,0.220959596,1955,3,1,0,0
3-10-9,1408320000,193000,2,210,4,C,4,1746,0.214646465,1960,3,2,0,0
18-6-14,1407715200,327500,4,210,10,C,4,3129,0.205119376,1890,4,2,1,5
26-3-3.3,1408406400,226000,10,210,2,C,4,2038,0.19513315,2014,4,3,0,1
9-5-31,1408579200,278000,7,210,5,C,4,1954,0.108471074,2004,3,2,1,1
25-3-45,1408924800,145000,9,210,8,C,3,1434,0.135555556,1930,3,2,0,0
20-1-28,1398902400,85000,6,210,8,C,3,918,0.12855831,1900,2,1,0,0
15-2-13,1400112000,110000,6,210,1,C,3,1488,0.222107438,1961,3,1,0,0
13-11-5,1400716800,100000,9,210,1,C,3,1248,0.534307163,1986,3,2,0,0
7-5-21,1400716800,90000,3,210,1,C,3,856,0.143480257,1955,3,1,0,0
7-12-4,1401408000,182000,6,210,4,C,4,1785,0.243181818,1920,3,1,2,1
48-4-15,1402617600,180000,15,210,10,C,4,2046,0.045913682,1910,3,1,0,2
3-12-15,1402617600,200000,2,210,4,C,4,1571,0.327134986,1939,3,1,1,1
42-1-7.11,1404086400,107150,12,210,8,C,3,1508,0.172176309,1950,4,1,0,0
37-7-36,1404691200,85000,14,210,15,D,3,912,0.051033058,1988,2,1,1,0
17-2-8,1388966400,166500,6,210,1,C,3,1672,0.308080808,1956,3,1,1,0
28-1-9,1389571200,120000,6,210,8,C,3,1232,0.075757576,1925,3,1,0,0
13-11-1,1390348800,185000,10,210,2,C,3,2004,0.091483012,2007,3,3,0,0
26-3-3.1,1390435200,191500,10,210,2,C,3,2038,0.19513315,2007,4,3,0,1
