ID,Street,Non-Homestead,Account,Code,"2016 City","2016 Full","2017 City","2017 Full","2018 City","2018 Full","2019 City","2019 Full","2020 City","2020 Full","2021 City","2021 Full","2022 City","2022 Full","Sale Date","Sale Price","Sale AV",2016OwnerAtAddress,2017OwnerAtAddress,2018OwnerAtAddress,2019OwnerAtAddress,2020OwnerAtAddress,2021OwnerAtAddress,2022OwnerAtAddress,Latitude,Longitude,TigerLine,DistanceFromCityHall,20162022Diff,SaleAssessDiff,SaleAssessDiffPercent,SqFt,Bathrooms,Bedrooms,YearBuilt,LandSize,Zoning,Ward,CensusBlock,AVPerSqFt,AVChangePercent,SalePricePerSqFt,NbhdCode,2021Vacant,2021Violations,OpportunityZone
1-2-17,"33-34 Williamsburg Dr",0,359385,220,157600,157600,157600,157600,157600,157600,157600,157600,181100,181100,186500,186500,233100,233100,,,,1,1,1,1,1,1,1,41.514133,-74.03402,124492824,2544,75500,,,2538.0,3.0,5.0,1988,1988,"Residential Low Density","Ward 3","County 071 Tract 000200 Block Group 1",91.84,0.48,,1,0,0,0
1-2-18,"35-36 Williamsburg Dr",0,359390,220,135000,135000,135000,135000,135000,135000,135000,135000,157100,157100,240200,240200,300300,300300,2021-05-24,300000,157100,1,1,1,1,1,1,1,41.51396,-74.03388,124492824,2523,165300,142900,0.91,1620.0,2.0,4.0,1987,1987,"Residential Low Density","Ward 3","County 071 Tract 000200 Block Group 1",185.37,1.22,185.19,1,1,1,0
1-2-19,"37-38 Williamsburg Dr",0,359395,220,144000,144000,144000,144000,144000,144000,144000,144000,170800,170800,175900,175900,219900,219900,,,,1,1,1,1,1,1,1,41.51379,-74.03375,124492824,2502,75900,,,2060.0,4.0,4.0,1987,1987,"Residential Low Density","Ward 3","County 071 Tract 000200 Block Group 1",106.75,0.53,,1,0,0,0
1-2-2,"3-4 Williamsburg Dr",0,359310,220,188400,188400,183000,183000,163000,183000,163000,183000,178800,198800,184800,204800,236000,256000,2016-02-03,116500,188400,1,1,1,1,1,1,1,41.514362,-74.03314,124492824,2503,67600,-71900,-0.38,3078.0,4.0,6.0,1988,1988,"Residential Low Density","Ward 3","County 071 Tract 000200 Block Group 1",83.17,0.36,37.85,1,0,0,0
1-2-20,"39-40 Williamsburg Dr",0,359400,220,150200,150200,140000,140000,140000,140000,140000,140000,166400,166400,171400,171400,214300,214300,2021-09-16,260000,171400,1,1,1,1,1,1,1,41.513798,-74.03374,124492824,2502,64100,88600,0.52,2052.0,3.0,4.0,1987,1987,"Residential Low Density","Ward 3","County 071 Tract 000200 Block Group 1",104.43,0.43,126.71,1,0,0,0
1-2-21,"41-42 Williamsburg Dr",0,359405,220,157600,157600,157600,157600,157600,157600,157600,157600,181100,181100,186500,186500,233100,233100,,,,1,1,1,1,1,1,1,41.51402,-74.03391,124492824,2529,75500,,,2538.0,3.0,5.0,1988,1988,"Residential Low Density","Ward 3","County 071 Tract 000200 Block Group 1",91.84,0.48,,1,0,0,0
1-2-22,"43-44 Williamsburg Dr",0,359410,220,105000,105000,134000,134000,134000,134000,134000,134000,156700,156700,161400,161400,201800,201800,,,,1,1,1,1,1,1,1,41.514236,-74.03409,124492824,2555,96800,,,1620.0,4.0,4.0,1988,1988,"Residential Low Density","Ward 3","County 071 Tract 000200 Block Group 1",124.57,0.92,,1,0,0,0
1-2-23,"45-46 Williamsburg Dr",0,359415,220,145300,145300,134000,134000,134000,134000,134000,134000,156700,156700,161400,161400,201800,201800,,,,1,1,1,1,1,1,1,41.514454,-74.034256,124492824,2581,56500,,,1620.0,4.0,4.0,1988,1988,"Residential Low Density","Ward 3","County 071 Tract 000200 Block Group 1",124.57,0.39,,1,0,0,0
1-2-24,"47-48 Williamsburg Dr",0,359420,220,145300,145300,133800,133800,133800,133800,133800,133800,156700,156700,161400,161400,201800,201800,,,,1,1,1,1,1,1,1,41.514683,-74.03441,124492824,2607,56500,,,1620.0,2.0,4.0,1988,1988,"Residential Low Density","Ward 3","County 071 Tract 000200 Block Group 1",124.57,0.39,,1,0,0,0
1-2-25,"49-50 Williamsburg Dr",0,359425,220,145300,145300,134000,134000,134000,134000,134000,134000,156700,156700,161400,161400,201800,201800,2020-05-14,197880,134000,1,1,1,1,1,1,1,41.51491,-74.03457,124492824,2633,56500,63880,0.48,1620.0,4.0,4.0,1988,1988,"Residential Low Density","Ward 3","County 071 Tract 000200 Block Group 1",124.57,0.39,122.15,1,0,0,0
1-2-26,"51-52 Williamsburg Dr",0,359430,220,145300,145300,134000,134000,134000,134000,134000,134000,156700,156700,161400,161400,201800,201800,,,,1,1,1,1,1,1,1,41.51514,-74.0347,124492824,2658,56500,,,1620.0,4.0,4.0,1988,1988,"Residential Low Density","Ward 3","County 071 Tract 000200 Block Group 1",124.57,0.39,,1,0,0,0
1-2-27,"53-54 Williamsburg Dr",0,359435,220,147500,147500,151100,151100,151100,151100,151100,151100,185400,185400,191000,191000,238800,238800,2018-03-16,164000,151100,1,1,1,1,1,1,1,41.51536,-74.03456,124492824,2665,91300,12900,0.09,1998.0,2.0,4.0,1988,1988,"Residential Low Density","Ward 3","County 071 Tract 000200 Block Group 1",119.52,0.62,82.08,1,0,0,0
1-2-28,"55-56 Williamsburg Dr",0,359440,220,149200,149200,152700,152700,152700,152700,152700,152700,170800,170800,175900,175900,219900,219900,,,,1,1,1,1,1,1,1,41.515396,-74.03424,124492824,2647,70700,,,1998.0,2.0,4.0,1988,1988,"Residential Low Density","Ward 3","County 071 Tract 000200 Block Group 1",110.06,0.47,,1,1,0,0
1-2-29,"57-58 Williamsburg Dr",0,359445,220,0,103900,106100,106100,106100,106100,164800,164800,178900,178900,184300,184300,230400,230400,,,,1,1,1,1,1,1,1,41.51523,-74.034,124492824,2620,126500,,,2538.0,4.0,5.0,1988,1988,"Residential Low Density","Ward 3","County 071 Tract 000200 Block Group 1",90.78,1.22,,1,0,0,0
1-2-3,"5-6 Williamsburg Dr",0,359315,220,170800,170800,170800,170800,170800,170800,170800,170800,180200,180200,185600,185600,232000,232000,2019-03-29,140000,170800,1,1,1,1,1,1,1,41.514523,-74.033295,124492824,2524,61200,-30800,-0.18,2808.0,4.0,5.0,1988,1988,"Residential Low Density","Ward 3","County 071 Tract 000200 Block Group 1",82.62,0.36,49.86,1,0,0,0
1-2-30,"59-60 Williamsburg Dr",0,359450,220,104500,104500,104500,104500,104500,104500,104500,104500,142200,142200,146500,146500,183100,183100,,,,1,1,1,1,1,1,1,41.515022,-74.03379,124492824,2591,78600,,,2538.0,2.0,5.0,1988,1988,"Residential Low Density","Ward 3","County 071 Tract 000200 Block Group 1",72.14,0.75,,1,0,0,0
1-2-31,"61-62 Williamsburg Dr",0,359455,220,158700,158700,158700,158700,158700,158700,158700,158700,182200,182200,187700,187700,234600,234600,,,,1,1,1,1,1,1,1,41.514812,-74.0336,124492824,2564,75900,,,2538.0,3.0,5.0,1988,1988,"Residential Low Density","Ward 3","County 071 Tract 000200 Block Group 1",92.43,0.48,,1,0,0,0
1-2-32,"63-64 Williamsburg Dr",0,359460,220,156600,156600,156600,156600,156600,156600,156600,156600,181200,181200,186600,186600,233300,233300,,,,1,1,1,1,1,1,1,41.514606,-74.033394,124492824,2536,76700,,,2538.0,2.0,5.0,1988,1988,"Residential Low Density","Ward 3","County 071 Tract 000200 Block Group 1",91.92,0.49,,1,0,0,0
1-2-33,"65-66 Williamsburg Dr",0,359465,220,153500,153500,153500,153500,153500,153500,153500,153500,169200,169200,174300,174300,217900,217900,2021-08-03,292000,174300,1,1,1,1,1,1,1,41.5144,-74.033195,124492824,2509,64400,117700,0.68,2538.0,4.0,6.0,1988,1988,"Residential Low Density","Ward 3","County 071 Tract 000200 Block Group 1",85.86,0.42,115.05,1,0,0,0
1-2-34,"67-68 Williamsburg Dr",0,359470,220,135500,135500,129600,129600,129600,129600,129600,129600,147100,147100,151500,151500,189400,189400,,,,1,1,1,1,1,1,1,41.51419,-74.033005,124492824,2482,53900,,,1620.0,4.0,4.0,1987,1987,"Residential Low Density","Ward 3","County 071 Tract 000200 Block Group 1",116.91,0.4,,1,0,0,0
1-2-35,"69-70 Williamsburg Dr",1,359475,340,15600,15600,18600,18600,18600,18600,43600,43600,43600,43600,43600,43600,48000,48000,,,,1,1,1,1,1,1,1,41.514194,-74.033,124492824,2482,32400,,,null,null,null,null,null,"Industrial District","Ward 3","County 071 Tract 000200 Block Group 1",,2.08,,20,0,0,0
