ID,Street,Non-Homestead,Account,Code,"2016 City","2016 Full","2017 City","2017 Full","2018 City","2018 Full","2019 City","2019 Full","2020 City","2020 Full","2021 City","2021 Full","2022 City","2022 Full","Sale Date","Sale Price","Sale AV",2016OwnerAtAddress,2017OwnerAtAddress,2018OwnerAtAddress,2019OwnerAtAddress,2020OwnerAtAddress,2021OwnerAtAddress,2022OwnerAtAddress,Latitude,Longitude,TigerLine,DistanceFromCityHall,20162022Diff,SaleAssessDiff,SaleAssessDiffPercent,SqFt,Bathrooms,Bedrooms,YearBuilt,LandSize,Zoning,Ward,CensusBlock,AVPerSqFt,AVChangePercent,SalePricePerSqFt,NbhdCode,2021Vacant,2021Violations,OpportunityZone
2-9-22,"1 Circle Dr",0,066150,210,140100,140100,140100,140100,140100,140100,154100,154100,173300,173300,190600,190600,228700,228700,2021-08-13,288000,190600,1,1,1,1,1,1,1,41.516495,-74.03202,124413228,2594,88600,97400,0.51,1000.0,1.5,3.0,1955,1955,"Residential Low Density","Ward 3","County 071 Tract 000200 Block Group 1",228.7,0.63,288,2,0,0,0
2-9-23,"28 Flemming Dr",0,114250,210,140100,140100,142100,142100,142100,142100,156300,156300,178900,178900,196800,196800,236200,236200,2018-10-24,172000,142100,2,2,2,1,1,1,1,41.51671,-74.03187,124413216,2602,96100,29900,0.21,1000.0,1.5,3.0,1955,1955,"Residential Low Density","Ward 3","County 071 Tract 000200 Block Group 1",236.2,0.69,172,2,0,0,0
2-9-24,"30 Flemming Dr",0,114300,210,134700,134700,129100,129100,129100,129100,142000,142000,172900,172900,190200,190200,228200,228200,,,,1,1,1,1,1,1,1,41.516853,-74.03174,124413216,2606,93500,,,1000.0,1.5,2.0,1955,1955,"Residential Low Density","Ward 3","County 071 Tract 000200 Block Group 1",228.2,0.69,,2,0,0,0
2-9-25,"32 Flemming Dr",0,114350,210,144300,144300,146400,146400,146400,146400,161000,161000,183100,183100,201400,201400,241700,241700,,,,1,1,1,1,1,1,1,41.516994,-74.0316,124413216,2609,97400,,,1000.0,1.5,3.0,1955,1955,"Residential Low Density","Ward 3","County 071 Tract 000200 Block Group 1",241.7,0.67,,2,0,0,0
2-9-26.1,"34 Flemming Dr",0,114400,210,130700,130700,132800,132800,132800,132800,146100,146100,101700,169500,111900,186500,134280,223800,,,,1,1,1,1,1,1,1,,,,0,93100,,,1000.0,1.5,3.0,1955,1955,"Residential Low Density","Ward 3","County 071 Tract 000200 Block Group 1",223.8,0.71,,2,0,0,0
2-9-26.2,"34 Flemming Dr (Rear)",0,669940,311,0,25,0,25,0,25,0,25,0,25,0,0,0,25,,,,1,1,1,1,1,1,1,,,,0,0,,,null,null,null,null,null,"Residential Low Density","Ward 3","County 071 Tract 000200 Block Group 1",,0,,2,0,0,0
2-9-27,"36 Flemming Dr",0,114450,210,117700,129700,119600,131600,119600,131600,132800,144800,160200,172200,177400,189400,215300,227300,,,,1,1,1,1,1,1,1,41.51718,-74.031296,124413219,2607,97600,,,1000.0,1.5,3.0,1956,1956,"Residential Low Density","Ward 3","County 071 Tract 000200 Block Group 1",227.3,0.75,,2,0,0,0
2-9-28,"38 Flemming Dr",0,114500,210,130300,130300,132200,132200,132200,132200,145400,145400,172800,172800,190100,190100,228100,228100,2021-10-19,290000,190100,1,1,1,1,1,1,1,41.51719,-74.03127,124413219,2606,97800,99900,0.53,1000.0,1.5,3.0,1956,1956,"Residential Low Density","Ward 3","County 071 Tract 000200 Block Group 1",228.1,0.75,290,2,0,0,0
2-9-3.1,"497 Gidney Ave",1,670525,620,0,784600,0,784600,0,784600,0,784600,0,880600,0,880600,0,880600,,,,3,3,3,3,3,3,3,,,,0,96000,,,3470.0,null,null,1960,1960,"Residential Low Density","Ward 3","County 071 Tract 000200 Block Group 1",253.78,0.12,,21,0,0,0
2-9-3.2,"481 Gidney Ave",2,135700,471,902400,902400,972400,972400,972400,972400,972400,972400,981500,981500,981500,981500,981500,981500,,,,1,1,1,1,1,1,1,,,,0,79100,,,10234.0,null,null,1967,1967,"Residential Low Density","Ward 3","County 071 Tract 000200 Block Group 1",95.91,0.09,,21,0,0,0
2-9-4.1,"22 Pierces Rd",1,241850,411,191200,191200,205000,205000,205000,205000,205000,205000,352600,352600,371800,371800,371800,371800,,,,2,2,2,2,2,1,1,,,,0,180600,,,3800.0,null,null,1870,1870,"Residential Low Density","Ward 3","County 071 Tract 000200 Block Group 1",97.84,0.94,,21,0,0,0
20-1-1,"102 West St",0,345900,220,181800,181800,188200,188200,188200,188200,188200,188200,228700,228700,263000,263000,315600,315600,,,,1,1,1,1,1,1,1,41.505177,-74.03042,124413307,1795,133800,,,3136.0,2.0,7.0,1966,1966,"Residential Low Density","Ward 3","County 071 Tract 000300 Block Group 3",100.64,0.74,,6,0,0,1
20-1-10,"435 Third St",0,312300,220,130500,130500,130800,130800,130800,130800,130800,130800,167300,167300,192400,192400,230900,230900,,,,1,1,1,1,1,1,1,41.50528,-74.028915,124413311,1681,100400,,,2042.0,2.0,6.0,1925,1925,"Residential Low Density","Ward 3","County 071 Tract 000300 Block Group 3",113.08,0.77,,6,0,0,1
20-1-11,"433 Third St",0,312250,220,115300,115300,118500,118500,118500,118500,118500,118500,83100,83100,95600,95600,114700,114700,2021-08-11,175000,95600,1,1,1,1,1,1,1,41.505272,-74.02879,124413311,1671,-600,79400,0.83,1984.0,2.0,6.0,1920,1920,"Residential Low Density","Ward 3","County 071 Tract 000300 Block Group 3",57.81,-0.01,88.21,6,1,0,1
20-1-12,"431 Third St",0,312200,220,119100,119100,122100,122100,122100,122100,122100,122100,165200,165200,190000,190000,228000,228000,,,,1,1,1,1,1,1,1,41.505264,-74.02868,124413311,1662,108900,,,1746.0,2.0,4.0,1930,1930,"Residential Low Density","Ward 3","County 071 Tract 000300 Block Group 3",130.58,0.91,,6,0,0,1
20-1-13,"429 Third St",0,312150,220,114300,114300,117000,117000,117000,117000,117000,117000,174100,174100,200200,200200,240200,240200,,,,1,1,1,1,1,1,1,41.505253,-74.02856,124413311,1652,125900,,,1872.0,2.0,6.0,1926,1926,"Residential Low Density","Ward 3","County 071 Tract 000300 Block Group 3",128.31,1.1,,6,0,0,1
20-1-14,"425 Third St",0,312100,220,60800,121600,62500,125000,62500,125000,62500,125000,84650,169300,97350,194700,116800,233600,,,,1,1,1,1,1,1,1,41.505238,-74.02832,124413311,1633,112000,,,1768.0,2.0,6.0,1930,1930,"Residential Low Density","Ward 3","County 071 Tract 000300 Block Group 3",132.13,0.92,,6,0,0,1
20-1-15,"29 Valley Ave",0,317350,220,186600,186600,184300,184300,184300,184300,184300,184300,225800,225800,259700,259700,311600,311600,,,,1,1,1,1,1,1,1,41.504948,-74.028275,124413360,1618,125000,,,2812.0,2.5,4.0,1950,1950,"Residential Low Density","Ward 3","County 071 Tract 000300 Block Group 3",110.81,0.67,,21,0,0,1
20-1-16,"27 Valley Ave",0,317300,220,118500,118500,121300,121300,121300,121300,121300,121300,169400,169400,194800,194800,233800,233800,,,,1,1,1,1,1,1,1,41.504833,-74.02829,124413360,1615,115300,,,1520.0,2.0,3.0,1920,1920,"Residential Low Density","Ward 3","County 071 Tract 000300 Block Group 3",153.82,0.97,,6,0,0,1
20-1-17,"23 Valley Ave",0,317250,210,164700,164700,164700,164700,164700,164700,164700,164700,219500,219500,241500,241500,289800,289800,,,,1,1,1,1,1,1,1,41.50461,-74.02831,124413360,1608,125100,,,1345.0,2.0,4.0,1956,1956,"Residential Low Density","Ward 3","County 071 Tract 000300 Block Group 3",215.46,0.76,,6,0,0,1
20-1-18,"19 Valley Ave",0,317150,220,134200,134200,137600,137600,137600,137600,137600,137600,180100,180100,207100,207100,248500,248500,,,,1,1,1,1,1,1,1,41.504353,-74.02834,124413362,1602,114300,,,1956.0,2.0,4.0,1950,1950,"Residential Low Density","Ward 3","County 071 Tract 000300 Block Group 3",127.04,0.85,,6,0,0,1
20-1-19,"17 Valley Ave",0,317100,220,153400,153400,156200,156200,156200,156200,156200,156200,231100,231100,265800,265800,319000,319000,,,,1,1,1,1,1,1,1,41.504257,-74.02836,124413362,1600,165600,,,1810.0,3.0,4.0,1960,1960,"Residential Low Density","Ward 3","County 071 Tract 000300 Block Group 3",176.24,1.08,,6,0,0,1
20-1-2,"451 Third St",0,312700,210,33000,33000,25100,25100,25100,25100,25100,25100,40000,40000,44000,44000,52800,52800,,,,1,1,1,1,1,1,1,41.505325,-74.02957,124413308,1734,19800,,,1050.0,1.0,2.0,1930,1930,"Residential Low Density","Ward 3","County 071 Tract 000300 Block Group 3",50.29,0.6,,6,1,0,1
20-1-21.1,"11 Valley Ave",0,317000,210,126700,126700,123000,123000,123000,123000,123000,123000,145600,145600,160200,160200,192200,192200,,,,1,1,1,1,1,1,1,,,,0,65500,,,1386.0,2.0,3.0,1929,1929,"Residential Low Density","Ward 3","County 071 Tract 000300 Block Group 3",138.67,0.52,,6,0,0,1
20-1-22.1,"9 Valley Ave",0,316950,210,116600,116600,121400,121400,121400,121400,121400,121400,148700,148700,163600,163600,196300,196300,,,,1,1,1,1,1,1,1,,,,0,79700,,,1176.0,1.5,2.0,1935,1935,"Residential Low Density","Ward 3","County 071 Tract 000300 Block Group 3",166.92,0.68,,6,0,0,1
20-1-24,"470 First St",0,113050,220,130800,130800,135200,135200,135200,135200,135200,135200,175000,175000,201300,201300,241600,241600,,,,1,1,1,1,1,1,1,41.503437,-74.02861,124413335,1596,110800,,,1896.0,2.5,6.0,1960,1960,"Residential Low Density","Ward 3","County 071 Tract 000300 Block Group 3",127.43,0.85,,6,0,0,1
20-1-25,"472 First St",0,113100,210,107300,107300,114000,114000,114000,114000,114000,114000,135200,135200,148700,148700,178400,178400,,,,1,1,1,1,1,1,1,41.50344,-74.02864,124413335,1598,71100,,,1128.0,1.0,3.0,1925,1925,"Residential Low Density","Ward 3","County 071 Tract 000300 Block Group 3",158.16,0.66,,6,0,0,1
20-1-26,"474 First St",0,113150,210,38000,38000,31700,31700,95700,95700,95700,95700,134300,134300,147700,147700,177200,177200,,,,1,1,1,1,1,1,1,41.503445,-74.02867,124413335,1601,139200,,,1344.0,1.0,3.0,1919,1919,"Residential Low Density","Ward 3","County 071 Tract 000300 Block Group 3",131.85,3.66,,6,0,0,1
20-1-27,"476 First St",0,113200,210,114000,114000,117000,117000,117000,117000,117000,117000,138800,138800,152700,152700,183200,183200,,,,1,1,1,1,1,1,1,41.503445,-74.028694,124413335,1603,69200,,,1170.0,1.5,3.0,1900,1900,"Residential Low Density","Ward 3","County 071 Tract 000300 Block Group 3",156.58,0.61,,6,0,0,1
20-1-28,"480 First St",0,113250,210,85100,85100,88800,88800,88800,88800,88800,88800,130800,130800,143900,143900,172700,172700,2019-08-29,142000,88800,1,1,1,1,1,1,1,41.50345,-74.028755,124413335,1608,87600,53200,0.6,918.0,1.0,2.0,1900,1900,"Residential Low Density","Ward 3","County 071 Tract 000300 Block Group 3",188.13,1.03,154.68,6,0,0,1
20-1-29,"482 First St",0,113300,220,106400,106400,110200,110200,110200,110200,110200,110200,153600,153600,176600,176600,211900,211900,,,,1,1,1,1,1,1,1,41.503452,-74.02878,124413335,1610,105500,,,1640.0,2.0,2.0,1910,1910,"Residential Low Density","Ward 3","County 071 Tract 000300 Block Group 3",129.21,0.99,,6,0,0,1
20-1-3,"449 Third St",0,312650,220,132000,132000,137100,137100,137100,137100,137100,137100,171900,171900,197700,197700,237200,237200,,,,1,1,1,1,1,1,1,41.505325,-74.02954,124413308,1731,105200,,,1560.0,2.0,5.0,1940,1940,"Residential Low Density","Ward 3","County 071 Tract 000300 Block Group 3",152.05,0.8,,6,0,0,1
20-1-30,"484 First St",0,113350,220,108600,108600,113900,113900,113900,113900,113900,113900,151500,151500,174200,174200,209000,209000,,,,1,1,1,1,1,1,1,41.503452,-74.02881,124413335,1612,100400,,,1866.0,2.0,4.0,1920,1920,"Residential Low Density","Ward 3","County 071 Tract 000300 Block Group 3",112,0.92,,6,0,0,1
20-1-31,"486 First St",0,113400,220,116100,116100,116800,116800,116800,116800,116800,116800,154900,154900,178100,178100,213700,213700,,,,1,1,1,1,1,1,1,41.503456,-74.02884,124413335,1615,97600,,,1600.0,2.0,4.0,1925,1925,"Residential Low Density","Ward 3","County 071 Tract 000300 Block Group 3",133.56,0.84,,6,0,0,1
20-1-32,"488 First St",0,113450,210,104000,104000,106400,106400,106400,106400,106400,106400,134900,134900,148400,148400,178100,178100,,,,1,1,1,1,1,1,1,41.503456,-74.02887,124413335,1617,74100,,,1040.0,1.0,3.0,1920,1920,"Residential Low Density","Ward 3","County 071 Tract 000300 Block Group 3",171.25,0.71,,6,0,0,1
20-1-33,"490 First St",0,113500,210,93000,93000,99200,99200,99200,99200,99200,99200,69190,125800,76120,138400,91355,166100,,,,1,1,1,1,1,1,1,41.50346,-74.02889,124413335,1619,73100,,,1000.0,1.0,2.0,1925,1925,"Residential Low Density","Ward 3","County 071 Tract 000300 Block Group 3",166.1,0.79,,6,0,0,1
20-1-34,"492 First St",0,113550,210,105400,105400,111900,111900,111900,111900,111900,111900,135300,135300,148800,148800,178600,178600,,,,1,1,1,1,1,1,1,41.50346,-74.02892,124413335,1621,73200,,,1092.0,1.0,3.0,1920,1920,"Residential Low Density","Ward 3","County 071 Tract 000300 Block Group 3",163.55,0.69,,6,0,0,1
20-1-35,"494 First St",0,113600,210,93700,105700,99300,111300,99300,111300,99300,111300,122700,134700,136200,148200,165800,177800,,,,1,1,1,1,1,1,1,41.503464,-74.02895,124413335,1624,72100,,,1100.0,1.0,3.0,1930,1930,"Residential Low Density","Ward 3","County 071 Tract 000300 Block Group 3",161.64,0.68,,6,0,0,1
20-1-36,"496 First St",0,113650,210,102900,102900,106300,106300,106300,106300,106300,106300,134000,134000,147400,147400,176900,176900,,,,1,1,1,1,1,1,1,41.503464,-74.02898,124413335,1626,74000,,,1056.0,1.0,3.0,1925,1925,"Residential Low Density","Ward 3","County 071 Tract 000300 Block Group 3",167.52,0.72,,6,0,0,1
20-1-37,"60 West St",0,345150,210,165400,165400,166200,166200,166200,166200,166200,166200,249300,249300,274200,274200,329000,329000,,,,1,1,1,1,1,1,1,41.50363,-74.03059,124413309,1761,163600,,,2256.0,1.5,3.0,1880,1880,"Residential Low Density","Ward 3","County 071 Tract 000300 Block Group 3",145.83,0.99,,6,0,0,1
20-1-38,"66 West St",0,345200,210,117500,117500,120700,120700,120700,120700,120700,120700,132000,132000,145200,145200,174200,174200,,,,1,1,1,1,1,1,1,41.5039,-74.030556,124413309,1765,56700,,,1400.0,2.0,4.0,1916,1916,"Residential Low Density","Ward 3","County 071 Tract 000300 Block Group 3",124.43,0.48,,6,0,0,1
20-1-39,"68 West St",0,345250,210,98400,98400,99400,99400,99400,99400,99400,99400,126600,126600,139300,139300,167200,167200,,,,1,1,1,1,1,1,1,41.50399,-74.03055,124413309,1767,68800,,,1040.0,1.0,3.0,1920,1920,"Residential Low Density","Ward 3","County 071 Tract 000300 Block Group 3",160.77,0.7,,6,0,0,1
20-1-4,"447 Third St",0,312600,210,100800,100800,104200,104200,104200,104200,104200,104200,141900,141900,156100,156100,187300,187300,,,,1,1,1,1,1,1,1,41.50532,-74.0295,124413308,1728,86500,,,1144.0,1.5,3.0,1922,1922,"Residential Low Density","Ward 3","County 071 Tract 000300 Block Group 3",163.72,0.86,,6,0,0,1
20-1-40,"70 West St",0,345300,210,118200,118200,124900,124900,124900,124900,124900,124900,141900,141900,156100,156100,187300,187300,,,,1,1,1,1,1,1,1,41.504078,-74.03053,124413309,1768,69100,,,1440.0,1.0,3.0,1941,1941,"Residential Low Density","Ward 3","County 071 Tract 000300 Block Group 3",130.07,0.58,,6,0,0,1
20-1-41,"72 West St",0,345350,210,109300,109300,114500,114500,114500,114500,114500,114500,137800,137800,151600,151600,181900,181900,,,,1,1,1,1,1,1,1,41.50417,-74.030525,124413309,1771,72600,,,1242.0,1.5,2.0,1910,1910,"Residential Low Density","Ward 3","County 071 Tract 000300 Block Group 3",146.46,0.66,,6,0,0,1
20-1-42,"4 Arlington Pl",0,007500,210,106000,106000,114300,114300,114300,114300,114300,114300,124400,124400,136800,136800,164200,164200,,,,1,1,1,1,1,1,1,,,,0,58200,,,1120.0,1.0,3.0,1925,1925,"Residential Low Density","Ward 3","County 071 Tract 000300 Block Group 3",146.61,0.55,,6,0,0,1
20-1-43,"6 Arlington Pl",0,007550,210,134100,134100,137800,137800,137800,137800,137800,137800,186500,186500,205200,205200,246200,246200,2011-10-11,119000,139800,1,1,1,1,1,1,1,,,,0,112100,-20800,-0.15,1560.0,2.0,4.0,1930,1930,"Residential Low Density","Ward 3","County 071 Tract 000300 Block Group 3",157.82,0.84,76.28,6,0,0,1
20-1-44,"10 Arlington Pl",0,007600,210,62850,125700,64100,128200,58100,128200,58100,128200,67450,146900,74800,161600,90950,193900,,,,1,1,1,1,1,1,1,41.504116,-74.029526,124413310,1689,68200,,,1328.0,1.5,3.0,1920,1920,"Residential Low Density","Ward 3","County 071 Tract 000300 Block Group 3",146.01,0.54,,6,0,0,1
20-1-45,"12 Arlington Pl",0,007650,210,120500,120500,128800,128800,128800,128800,128800,128800,182000,182000,200200,200200,240200,240200,,,,1,1,1,1,1,1,1,41.50412,-74.02954,124413310,1690,119700,,,1276.0,1.5,3.0,1930,1930,"Residential Low Density","Ward 3","County 071 Tract 000300 Block Group 3",188.24,0.99,,6,0,0,1
20-1-46,"14 Arlington Pl",0,007700,210,125700,125700,133300,133300,133300,133300,133300,133300,156200,156200,171800,171800,206200,206200,,,,1,1,1,1,1,1,1,41.50412,-74.029564,124413310,1692,80500,,,1404.0,1.0,4.0,1927,1927,"Residential Low Density","Ward 3","County 071 Tract 000300 Block Group 3",146.87,0.64,,6,0,0,1
20-1-47,"16 Arlington Pl",0,008000,210,114900,114900,120700,120700,120700,120700,120700,120700,138200,138200,152000,152000,235000,235000,,,,1,1,1,1,1,1,1,41.504124,-74.02959,124413310,1694,120100,,,1080.0,1.0,3.0,1925,1925,"Residential Low Density","Ward 3","County 071 Tract 000300 Block Group 3",217.59,1.05,,6,0,0,1
20-1-48,"22 Arlington Pl",0,007950,312,2400,2400,2400,2400,2400,2400,4200,4200,4300,4300,4300,4300,4600,4600,,,,1,1,1,1,1,1,1,41.504128,-74.02965,124413310,1699,2200,,,null,null,null,null,null,"Residential Low Density","Ward 3","County 071 Tract 000300 Block Group 3",,0.92,,6,0,0,1
20-1-49,"18 Arlington Pl",0,007900,210,110000,110000,112400,112400,112400,112400,112400,112400,143200,143200,157500,157500,189000,189000,,,,1,1,1,1,1,1,1,41.504124,-74.02961,124413310,1696,79000,,,1254.0,1.5,2.0,1930,1930,"Residential Low Density","Ward 3","County 071 Tract 000300 Block Group 3",150.72,0.72,,6,0,0,1
20-1-5,"445 Third St",0,312550,210,117400,117400,119400,119400,119400,119400,119400,119400,134900,134900,148400,148400,178100,178100,,,,1,1,1,1,1,1,1,41.50532,-74.02947,124413308,1726,60700,,,1120.0,1.0,3.0,1942,1942,"Residential Low Density","Ward 3","County 071 Tract 000300 Block Group 3",159.02,0.52,,6,0,0,1
20-1-50,"11 Arlington Pl",0,007850,210,96400,96400,104200,104200,104200,104200,104200,104200,128100,128100,140900,140900,101460,169100,,,,1,1,1,1,1,1,1,,,,0,72700,,,1122.0,1.0,3.0,1915,1915,"Residential Low Density","Ward 3","County 071 Tract 000300 Block Group 3",150.71,0.75,,6,0,0,1
20-1-51,"9 Arlington Pl",0,007800,220,107200,107200,111400,111400,111400,111400,111400,111400,153800,153800,176900,176900,212300,212300,,,,1,1,1,1,1,1,1,,,,0,105100,,,1786.0,2.0,6.0,1930,1930,"Residential Low Density","Ward 3","County 071 Tract 000300 Block Group 3",118.87,0.98,,6,0,0,1
20-1-52,"7 Arlington Pl",0,007750,210,111900,111900,114100,114100,114100,114100,114100,114100,149500,149500,164500,164500,197400,197400,,,,1,1,1,1,1,1,1,,,,0,85500,,,1496.0,1.0,3.0,1920,1920,"Residential Low Density","Ward 3","County 071 Tract 000300 Block Group 3",131.95,0.76,,6,0,0,1
20-1-53,"76 West St",0,345400,210,89700,89700,0,47200,47200,47200,144800,144800,160000,160000,176000,176000,211200,211200,,,,1,1,1,1,1,1,1,41.504375,-74.0305,124413307,1775,121500,,,1144.0,1.0,2.0,1917,1917,"Residential Low Density","Ward 3","County 071 Tract 000300 Block Group 3",184.62,1.35,,6,0,0,1
20-1-54,"78 West St",0,345450,210,125500,125500,126700,126700,126700,126700,126700,126700,150000,150000,165000,165000,198000,198000,,,,1,1,1,1,1,1,1,41.504436,-74.030495,124413307,1776,72500,,,1691.0,2.0,4.0,1916,1916,"Residential Low Density","Ward 3","County 071 Tract 000300 Block Group 3",117.09,0.58,,6,0,0,1
20-1-55,"80 West St",0,345500,210,110000,110000,107000,107000,107000,107000,107000,107000,137600,137600,151400,151400,181700,181700,,,,1,1,1,1,1,1,1,41.504498,-74.03049,124413307,1778,71700,,,1400.0,1.5,3.0,1920,1920,"Residential Low Density","Ward 3","County 071 Tract 000300 Block Group 3",129.79,0.65,,6,0,0,1
20-1-56,"82 West St",0,345550,220,133400,133400,136500,136500,136500,136500,136500,136500,175500,175500,201800,201800,242200,242200,,,,1,1,1,1,1,1,1,41.50456,-74.03048,124413307,1779,108800,,,1743.0,2.0,2.0,1920,1920,"Residential Low Density","Ward 3","County 071 Tract 000300 Block Group 3",138.96,0.82,,6,0,0,1
20-1-57,"86 West St",0,345600,210,114200,114200,124200,124200,124200,124200,124200,124200,157900,157900,173700,173700,208400,208400,2014-02-13,110000,133000,1,1,1,1,1,1,1,41.504684,-74.03047,124413307,1782,94200,-23000,-0.17,1394.0,1.0,3.0,1926,1926,"Residential Low Density","Ward 3","County 071 Tract 000300 Block Group 3",149.5,0.82,78.91,6,0,0,1
20-1-58,"88 West St",0,345650,210,120000,120000,124700,124700,124700,124700,124700,124700,153500,153500,168900,168900,202700,202700,2021-11-12,260000,168900,1,1,1,1,1,1,1,41.504745,-74.030464,124413307,1784,82700,91100,0.54,1276.0,1.0,3.0,1930,1930,"Residential Low Density","Ward 3","County 071 Tract 000300 Block Group 3",158.86,0.69,203.76,6,0,0,1
20-1-59,"90 West St",0,345700,230,187900,187900,214900,214900,214900,214900,214900,214900,304700,304700,350400,350400,420500,420500,,,,1,1,1,1,1,1,1,41.504807,-74.03046,124413307,1785,232600,,,2672.0,4.0,4.0,1835,1835,"Residential Low Density","Ward 3","County 071 Tract 000300 Block Group 3",157.37,1.24,,6,0,0,1
20-1-6.1,"443 Third St",0,312500,210,111800,111800,111800,111800,111800,111800,111800,111800,130400,130400,143400,143400,172100,172100,,,,1,1,1,1,1,1,1,,,,0,60300,,,1160.0,1.0,3.0,1926,1926,"Residential Low Density","Ward 3","County 071 Tract 000300 Block Group 3",148.36,0.54,,6,0,0,1
20-1-60,"96 West St",0,345750,210,99300,99300,105800,105800,105800,105800,105800,105800,127000,127000,139700,139700,167600,167600,,,,1,1,1,1,1,1,1,41.50499,-74.03043,124413307,1789,68300,,,1160.0,1.0,3.0,1927,1927,"Residential Low Density","Ward 3","County 071 Tract 000300 Block Group 3",144.48,0.69,,6,0,0,1
20-1-61,"98 West St",0,345800,210,97000,97000,103300,103300,103300,103300,103300,103300,127500,127500,140300,140300,168400,168400,,,,1,1,1,1,1,1,1,41.50505,-74.030426,124413307,1791,71400,,,1102.0,1.0,2.0,1925,1925,"Residential Low Density","Ward 3","County 071 Tract 000300 Block Group 3",152.81,0.74,,6,0,0,1
20-1-62,"100 West St",0,345850,210,106600,106600,110000,110000,110000,110000,110000,110000,131600,131600,144800,144800,173800,173800,,,,1,1,1,1,1,1,1,41.50511,-74.03042,124413307,1793,67200,,,1040.0,1.5,3.0,1930,1930,"Residential Low Density","Ward 3","County 071 Tract 000300 Block Group 3",167.12,0.63,,6,0,0,1
20-1-8,"439 Third St",0,312400,220,120700,120700,123800,123800,123800,123800,123800,123800,167600,167600,192700,192700,231200,231200,,,,1,1,1,1,1,1,1,41.505295,-74.02915,124413311,1700,110500,,,1722.0,2.0,4.0,1917,1917,"Residential Low Density","Ward 3","County 071 Tract 000300 Block Group 3",134.26,0.92,,6,0,0,1
20-1-9,"437 Third St",0,312350,230,135700,135700,135700,135700,135700,135700,135700,135700,227500,227500,261600,261600,313900,313900,,,,1,1,1,1,1,1,1,41.505287,-74.02904,124413311,1691,178200,,,1899.0,3.0,4.0,1920,1920,"Residential Low Density","Ward 3","County 071 Tract 000300 Block Group 3",165.3,1.31,,6,0,0,1
20-2-1,"423 Third St",0,312050,220,105000,105000,108700,108700,108700,108700,108700,108700,143000,143000,164500,164500,197400,197400,,,,1,1,1,1,1,1,1,41.505222,-74.02813,124413361,1617,92400,,,1296.0,2.0,3.0,1920,1920,"Residential Low Density","Ward 3","County 071 Tract 000300 Block Group 3",152.31,0.88,,6,0,0,1
20-2-10,"2 Humphries Pl",0,158950,220,136400,136400,143700,143700,143700,143700,143700,143700,187400,187400,215500,215500,258600,258600,2017-02-23,142800,136400,1,1,1,1,1,1,1,41.504353,-74.02711,124413363,1504,122200,6400,0.05,1674.0,2.0,4.0,1961,1961,"Residential Low Density","Ward 3","County 071 Tract 000300 Block Group 3",154.48,0.9,85.3,6,0,0,1
20-2-11,"6 Humphries Pl",0,159000,210,124600,124600,127300,127300,127300,127300,127300,127300,157000,157000,172700,172700,207200,207200,,,,1,1,1,1,1,1,1,41.504356,-74.02715,124413363,1508,82600,,,1064.0,1.0,2.0,1955,1955,"Residential Low Density","Ward 3","County 071 Tract 000300 Block Group 3",194.74,0.66,,6,0,0,1
20-2-12,"10 Humphries Pl",0,159050,210,137100,137100,142100,142100,142100,142100,142100,142100,170200,170200,187200,187200,224600,224600,,,,1,1,1,1,1,1,1,41.50436,-74.0272,124413363,1512,87500,,,1036.0,2.0,3.0,1962,1962,"Residential Low Density","Ward 3","County 071 Tract 000300 Block Group 3",216.8,0.64,,6,0,0,1
20-2-13,"14 Humphries Pl",0,159100,220,71050,142100,72350,144700,72350,144700,72350,144700,79850,159700,91850,183700,110200,220400,,,,2,2,2,2,2,2,2,41.50436,-74.027245,124413363,1515,78300,,,1760.0,2.0,4.0,1960,1960,"Residential Low Density","Ward 3","County 071 Tract 000300 Block Group 3",125.23,0.55,,6,0,0,1
20-2-14,"24 Valley Ave",1,318300,411,181500,181500,198200,198200,202300,202300,202300,202300,241400,241400,280600,280600,280600,280600,,,,1,1,1,1,1,1,1,41.504498,-74.02831,124413360,1604,99100,,,2856.0,null,null,1916,1916,"Residential Low Density","Ward 3","County 071 Tract 000300 Block Group 3",98.25,0.55,,21,0,0,1
20-2-15,"26 Valley Ave",0,318350,220,127200,127200,135200,135200,135200,135200,135200,135200,172900,172900,198800,198800,238600,238600,,,,1,1,1,1,1,1,1,41.504665,-74.02829,124413360,1609,111400,,,1980.0,2.0,4.0,1926,1926,"Residential Low Density","Ward 3","County 071 Tract 000300 Block Group 3",120.51,0.88,,6,0,0,1
20-2-16,"28 Valley Ave",0,318400,220,137300,137300,131700,131700,131700,131700,131700,131700,167000,167000,192100,192100,230500,230500,,,,1,1,1,1,1,1,1,41.504833,-74.028275,124413360,1614,93200,,,1850.0,3.0,4.0,2005,2005,"Residential Low Density","Ward 3","County 071 Tract 000300 Block Group 3",124.59,0.68,,6,0,0,1
20-2-17,"30 Valley Ave",0,318450,220,108400,108400,111200,111200,111200,111200,111200,111200,150600,150600,173200,173200,207800,207800,,,,1,1,1,1,1,1,1,41.505,-74.02825,124413360,1618,99400,,,1440.0,2.0,4.0,1912,1912,"Residential Low Density","Ward 3","County 071 Tract 000300 Block Group 3",144.31,0.92,,6,0,0,1
