"15-1-14.1","7 RICHMAN AVE - 7 Richman Ave","","Yes"
"15-1-29","154 WEST ST - 154 West St","","Yes"
"15-2-3","459 SOUTH ST - 459 South St","","Yes"
"15-2-30","34 RICHMAN AVE - 34 Richman Ave","","Yes"
"15-2-31","36 RICHMAN AVE - 36 Richman Ave","","Yes"
"15-2-4","451 SOUTH ST - 451 South St","","Yes"
"15-2-9","65 VALLEY AVE - 65 Valley Ave","","Yes"
"15-3-10","62 VALLEY AVE - 62 Valley Ave","","Yes"
"15-3-12","72 VALLEY AVE - 72 Valley Ave","","Yes"
"15-5-1","181 FULLERTON AVE - 181 Fullerton Ave","","Yes"
"15-5-3","173 FULLERTON AVE - 173 Fullerton Ave","","Yes"
"15-6-8","119 FULLERTON AVE - 119 Fullerton Ave","","Yes"
"16-11-1","71 TOWNSEND AVE - 71 Townsend Ave","","Yes"
"16-11-41","138 PROSPECT ST - 138 Prospect St","","Yes"
"16-11-42","140 PROSPECT ST - 140 Prospect St","","Yes"
"16-12-11","46 TOWNSEND AVE - 46 Townsend Ave","","Yes"
"16-12-2","66 TOWNSEND AVE - 66 Townsend Ave","","Yes"
"16-12-8","54 TOWNSEND AVE - 54 Townsend Ave","","Yes"
"16-13-19.2","107 ROBINSON AVE - 107 Robinson Ave","","Yes"
"16-3-12","12 WILSON ST - 12 Wilson St","","Yes"
"16-3-4","173 PROSPECT ST - 173 Prospect St","","Yes"
"16-5-11","2 LILLY ST - 2 Lilly St","","Yes"
"16-5-4","35 BUSH AVE - 35 Bush Ave","","Yes"
"16-8-16","350 THIRD ST - 350 Third St","","Yes"
"16-8-29","8 BUSH AVE - 8 Bush Ave","","Yes"
"16-8-30","10 BUSH AVE - 10 Bush Ave","","Yes"
"16-8-7","1 NORTON ST - 1 Norton St","","Yes"
"17-3-1","214 PROSPECT ST - 214 Prospect St","","Yes"
"17-3-16","318 SOUTH ST - 318 South St","","Yes"
"17-4-2","185 GIDNEY AVE - 185 Gidney Ave","","Yes"
"17-7-4","121 GIDNEY AVE - 121 Gidney Ave","","Yes"
"17-8-2","95 GIDNEY AVE - 95 Gidney Ave","","Yes"
"17-8-23","214 CITY TER - 214 City Ter","","Yes"
"17-8-25","224 CITY TER - 224 City Ter","","Yes"
"17-8-27","230 CITY TER - 230 City Ter","","Yes"
"18-10-1","120 JOHNSTON ST","","Yes"
"18-10-11","110 JOHNSTON ST - 110 Johnston St","","Yes"
"18-10-12","112 JOHNSTON ST - 112 Johnston St","","Yes"
"18-10-13","114 JOHNSTON ST - 114 Johnston St","","Yes"
"18-10-14","116 JOHNSTON ST - 116 Johnston St","","Yes"
"18-10-5.2","116 LANDER ST - 116 Lander St","","Yes"
"18-10-7","146 THIRD ST - 146 Third St","","Yes"
"18-10-8","150 THIRD ST - 150 Third St","","Yes"
"18-10-9","152 THIRD ST - 152 Third St","","Yes"
"18-11-10","55 FARRINGTON ST - 55 Farrington St","","Yes"
